Total Steps,Total Time,Avg Reward,Best Reward,Avg Length
20000,6.851064682006836,-0.82831794,8.400001,50.869897959183675
40000,13.955469846725464,5.602856,13.800017,63.4
60000,21.044232845306396,8.517396,23.200047,86.70434782608696
80000,28.226041793823242,10.441632,27.80006,102.25888324873097
100000,35.106682777404785,12.7769785,51.29982,121.0969696969697
120000,42.28297400474548,15.022377,60.39971,139.3846153846154
140000,49.579617977142334,13.516677,50.399834,126.78205128205128
160000,56.75203776359558,18.73865,97.699265,168.890756302521
180000,63.59289288520813,17.267193,64.399666,157.375
200000,70.83564591407776,18.321486,92.39933,165.80165289256198
220000,77.93908405303955,19.117231,92.699326,172.45689655172413
240000,85.1008849143982,21.052805,138.89952,187.99056603773585
260000,91.94216299057007,19.099993,78.3995,172.2844827586207
280000,99.16855382919312,18.857616,102.29921,170.135593220339
300000,106.46686291694641,19.85177,82.899445,178.25892857142858
320000,113.67716979980469,20.033312,134.3993,179.7927927927928
340000,120.91190791130066,20.567883,106.39916,183.8165137614679
360000,127.87969303131104,20.923351,141.2996,187.00934579439252
380000,135.13312983512878,22.252457,92.39933,197.7029702970297
400000,142.39585900306702,21.41713,149.20003,190.97142857142856
420000,149.67063283920288,17.315086,111.199104,158.0079365079365
440000,156.58940887451172,18.573095,120.398994,168.14285714285714
460000,163.77457404136658,21.039227,83.19944,187.9158878504673
480000,171.00153279304504,25.952868,166.90086,227.70114942528735
500000,178.29077100753784,25.119722,120.398994,220.65934065934067
520000,185.25011682510376,24.841269,96.89928,218.32608695652175
540000,192.7512230873108,21.063807,74.999535,187.86666666666667
560000,199.9956569671631,25.051615,92.699326,220.27472527472528
580000,207.12461590766907,24.989101,90.59936,219.70652173913044
600000,214.01239395141602,26.219501,152.90019,229.33333333333334
620000,221.19657802581787,29.311625,138.89952,254.7922077922078
640000,228.35891389846802,31.197248,124.89894,269.81333333333333
660000,235.6448037624359,32.359146,188.60188,279.07042253521126
680000,242.89139580726624,32.867496,120.398994,283.14084507042253
700000,249.77696299552917,33.477047,106.39916,288.04285714285714
720000,257.6423919200897,29.64227,152.90019,257.11538461538464
740000,264.8748049736023,31.486235,106.39916,272.2328767123288
760000,272.4105439186096,31.02154,123.298965,267.8243243243243
780000,280.5115098953247,34.455788,120.398994,295.47058823529414
800000,288.9997727870941,40.325302,149.60005,343.0169491525424
820000,296.4702389240265,43.675785,169.20094,370.25925925925924
840000,303.9805397987366,43.32581,176.60133,366.75925925925924
860000,310.9962480068207,39.039227,158.70049,332.344262295082
880000,318.29155683517456,23.309443,97.99926,205.82105263157894
900000,325.65983271598816,47.867874,180.90154,404.0
920000,334.1540379524231,54.35005,272.40588,455.2631578947368
940000,342.84078788757324,44.757763,372.4107,379.10169491525426
960000,350.67771077156067,53.718197,232.404,451.6363636363636
980000,358.0506098270416,50.393677,247.50475,424.5625
1000000,365.43035078048706,46.183956,237.80428,390.94
1020000,372.93188190460205,60.541492,250.90489,506.219512195122
1040000,380.0755558013916,54.199986,236.90422,454.6136363636364
1060000,387.46200299263,47.540657,160.50053,401.55102040816325
1080000,394.89191198349,36.193657,152.90019,309.515625
1100000,402.2449519634247,56.25817,292.9069,472.06976744186045
1120000,409.2308406829834,77.58131,484.9161,644.5483870967741
1140000,416.6240429878235,44.773804,130.29912,379.18
1160000,424.6886467933655,55.949013,236.90422,469.68888888888887
1180000,432.6503391265869,29.747377,153.20021,257.5897435897436
1200000,439.9977557659149,38.983284,202.40254,332.28333333333336
1220000,447.9906659126282,55.808506,244.40456,468.5833333333333
1240000,455.3938398361206,67.65816,418.91293,564.05
1260000,462.7514748573303,14.463658,340.5092,134.89403973509934
1280000,469.80985593795776,31.890625,331.30875,274.0810810810811
1300000,477.2207360267639,29.442226,124.89894,254.8846153846154
1320000,484.6229169368744,63.49752,293.70694,529.921052631579
1340000,491.9099009037018,49.156025,143.89977,414.4375
1360000,499.24363589286804,50.379,418.91293,424.97872340425533
1380000,506.239896774292,68.73435,213.90312,572.34375
1400000,513.9635457992554,61.39034,236.90422,512.9512195121952
1420000,521.2755908966064,44.633144,146.49986,377.8333333333333
1440000,528.6041610240936,39.799862,132.49919,338.52542372881356
1460000,535.5826759338379,54.00654,195.40224,453.8666666666667
1480000,542.8540720939636,60.15763,148.39998,503.1578947368421
1500000,550.1296799182892,54.0777,194.9022,454.1777777777778
1520000,557.360316991806,76.84742,377.21094,638.0
1540000,564.332927942276,63.789223,232.70403,532.6216216216217
1560000,571.6398539543152,61.808197,288.9067,517.0526315789474
1580000,579.1266980171204,72.36367,250.90489,601.2727272727273
1600000,586.4946119785309,57.18992,218.40334,479.175
1620000,593.944589138031,58.543533,334.9089,490.0681818181818
1640000,601.0827188491821,80.16331,617.7969,663.2333333333333
1660000,608.5625379085541,86.81085,356.50992,717.75
1680000,616.534581899643,87.22608,598.80054,721.2592592592592
1700000,624.4798457622528,91.186,418.91293,754.1851851851852
1720000,631.6183948516846,146.77689,271.00586,1202.5625
1740000,639.060436964035,63.107937,248.60475,527.4473684210526
1760000,646.5061829090118,78.85758,321.30826,653.9642857142857
1780000,653.856880903244,93.07923,447.2143,769.1785714285714
1800000,660.799076795578,107.1015,447.1143,881.375
1820000,668.1199617385864,74.9489,421.31302,621.4193548387096
1840000,675.4933679103851,100.6177,403.31216,828.5416666666666
1860000,682.8655738830566,55.420704,321.70828,464.77272727272725
1880000,690.4616320133209,84.40724,330.6087,698.6551724137931
1900000,697.9350090026855,91.55405,244.80458,755.8846153846154
1920000,705.3036768436432,21.899996,218.40334,195.08
1940000,712.690808057785,84.07739,451.91452,696.9666666666667
1960000,720.147246837616,48.485744,292.9069,409.46938775510205
1980000,727.122074842453,50.24035,248.90477,423.59574468085106
2000000,734.5980789661407,89.24527,470.81543,738.4444444444445
